역명,2017-06-10,2017-06-11,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-17,2017-06-18,2017-06-19,2017-06-20,2017-06-21,2017-06-22,2017-06-23,2017-06-24,2017-06-25,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-22,2017-07-23,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-29,2017-07-30,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-05,2017-08-06,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-12,2017-08-13,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-19,2017-08-20,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-26,2017-08-27,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2018-06-09,2018-06-10,2018-06-11,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-16,2018-06-17,2018-06-18,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25,2018-06-26,2018-06-27,2018-06-28,2018-06-29,2018-06-30,2018-07-01,2018-07-02,2018-07-03,2018-07-04,2018-07-05,2018-07-06,2018-07-07,2018-07-08,2018-07-09,2018-07-10,2018-07-11,2018-07-12,2018-07-13,2018-07-14,2018-07-15,2018-07-16,2018-07-17,2018-07-18,2018-07-19,2018-07-20,2018-07-21,2018-07-22,2018-07-23,2018-07-24,2018-07-25,2018-07-26,2018-07-27,2018-07-28,2018-07-29,2018-07-30,2018-07-31,2018-08-01,2018-08-02,2018-08-03,2018-08-04,2018-08-05,2018-08-06,2018-08-07,2018-08-08,2018-08-09,2018-08-10,2018-08-11,2018-08-12,2018-08-13,2018-08-14,2018-08-15,2018-08-16,2018-08-17,2018-08-18,2018-08-19,2018-08-20,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-25,2018-08-26,2018-08-27,2018-08-28,2018-08-29,2018-08-30,2018-08-31
가락시장,29575.0,17746.0,41764.0,41921.0,41516.0,41746.0,43069.0,28008.0,18414.0,40675.0,41258.0,40664.0,41071.0,42582.0,28579.0,16829.0,39808.0,41038.0,40667.0,40561.0,42040.0,26766.0,16281.0,38389.0,39617.0,40054.0,40316.0,40760.0,25079.0,15864.0,37205.0,40947.0,40711.0,40551.0,42217.0,25133.0,17417.0,39168.0,40132.0,40384.0,40217.0,41295.0,24888.0,13995.0,37875.0,38634.0,38796.0,39043.0,37987.0,24611.0,16800.0,35318.0,36837.0,36160.0,36528.0,36546.0,21472.0,15792.0,36620.0,37706.0,38249.0,38147.0,39002.0,24081.0,15390.0,35221.0,18351.0,38101.0,38967.0,41048.0,26441.0,16339.0,37976.0,38997.0,37631.0,37622.0,41884.0,29145.0,17400.0,39600.0,40420.0,40432.0,41003.0,42202.0,29546.0,17471.0,40817.0,43403.0,24561.0,41431.0,43698.0,29458.0,18410.0,41099.0,42121.0,41528.0,42567.0,44086.0,29923.0,17497.0,41902.0,38699.0,41272.0,40986.0,42916.0,26951.0,15165.0,38724.0,41204.0,40933.0,41415.0,43812.0,29335.0,17685.0,40462.0,42094.0,41534.0,42362.0,43241.0,27584.0,17930.0,40439.0,41260.0,40424.0,41203.0,43032.0,27044.0,16589.0,39788.0,40019.0,40478.0,40005.0,41298.0,24101.0,16969.0,37710.0,37268.0,35429.0,34881.0,34417.0,20808.0,15680.0,36878.0,38142.0,38451.0,38163.0,40389.0,25344.0,16032.0,38343.0,39868.0,21698.0,38742.0,41201.0,26521.0,17993.0,39579.0,39852.0,40622.0,37445.0,36527.0,29332.0,16466.0,38806.0,38817.0,38614.0,39607.0,42225.0
가산디지털단지,55544.0,41589.0,143883.0,142966.0,142714.0,142917.0,142461.0,55494.0,41048.0,142566.0,142474.0,142745.0,143017.0,141998.0,53705.0,41150.0,141887.0,142999.0,142392.0,140789.0,141694.0,52024.0,35319.0,140892.0,142009.0,143188.0,141500.0,141459.0,50933.0,38371.0,137906.0,143852.0,142259.0,141766.0,141391.0,50832.0,39091.0,141713.0,143267.0,141905.0,141933.0,141428.0,50809.0,33823.0,138210.0,139409.0,138807.0,137128.0,134848.0,49578.0,38126.0,119763.0,122299.0,117127.0,120103.0,120424.0,46219.0,35000.0,133149.0,134090.0,134529.0,133794.0,134386.0,47784.0,36637.0,111925.0,34781.0,135169.0,135783.0,137194.0,50753.0,32826.0,138107.0,138590.0,136714.0,135206.0,139235.0,52170.0,38535.0,138312.0,140339.0,140749.0,139251.0,140789.0,53733.0,41331.0,142881.0,143987.0,53498.0,141081.0,143073.0,54351.0,40208.0,143276.0,142620.0,142547.0,141374.0,142492.0,54862.0,40057.0,143407.0,136806.0,143619.0,140523.0,142967.0,51434.0,30346.0,138827.0,142717.0,143385.0,141951.0,144117.0,54547.0,42322.0,142214.0,143417.0,143570.0,142395.0,144106.0,54303.0,41517.0,142423.0,141498.0,142440.0,141387.0,143238.0,51221.0,39747.0,141512.0,140428.0,140846.0,139346.0,139325.0,47413.0,37935.0,131147.0,128770.0,122257.0,120810.0,118919.0,46306.0,36512.0,131624.0,133971.0,134342.0,134802.0,135319.0,48918.0,37689.0,133531.0,133990.0,41054.0,132190.0,135225.0,50351.0,37805.0,139426.0,138770.0,140137.0,134766.0,130721.0,51723.0,37160.0,138494.0,137425.0,137504.0,138780.0,141325.0
가양,35087.0,27529.0,46944.0,47410.0,47307.0,46679.0,47914.0,34656.0,26891.0,46231.0,47189.0,46957.0,46785.0,47134.0,34548.0,26234.0,46247.0,46762.0,46582.0,45815.0,47554.0,32934.0,24071.0,44757.0,45821.0,46035.0,45743.0,46702.0,35204.0,25183.0,42739.0,47656.0,45668.0,45860.0,46654.0,31087.0,24745.0,45389.0,45996.0,45645.0,45969.0,46653.0,32012.0,23002.0,43642.0,45584.0,45384.0,44887.0,44439.0,30588.0,26147.0,40916.0,42600.0,42167.0,42074.0,43168.0,29640.0,23462.0,42702.0,44193.0,43568.0,43198.0,44908.0,30940.0,25109.0,39706.0,21164.0,44912.0,45297.0,46978.0,32447.0,23694.0,44261.0,46114.0,44075.0,43404.0,47006.0,34475.0,27225.0,44585.0,46338.0,46099.0,45551.0,47335.0,32783.0,26415.0,45638.0,46970.0,26395.0,45734.0,47704.0,33457.0,25776.0,45778.0,46205.0,46308.0,46678.0,47188.0,34543.0,25296.0,45801.0,42161.0,45561.0,44973.0,46942.0,31474.0,21583.0,43326.0,45577.0,45644.0,45525.0,47148.0,34130.0,26126.0,44091.0,45811.0,45445.0,45905.0,46603.0,31794.0,25376.0,44203.0,45591.0,45044.0,45006.0,46410.0,31218.0,25187.0,44160.0,44538.0,44797.0,44732.0,45194.0,29034.0,24362.0,41808.0,42100.0,41262.0,40059.0,41136.0,27998.0,24122.0,42070.0,43261.0,43236.0,42847.0,44549.0,29626.0,23283.0,42613.0,43707.0,24161.0,43169.0,44035.0,30026.0,23073.0,44306.0,45879.0,45496.0,42235.0,41297.0,33033.0,24834.0,43588.0,43652.0,43172.0,44403.0,46322.0
가좌,8638.0,6404.0,10916.0,10850.0,10813.0,10892.0,10861.0,8469.0,6204.0,10585.0,10889.0,10526.0,10459.0,10731.0,9491.0,6255.0,10055.0,10238.0,10115.0,10117.0,10684.0,8015.0,5586.0,9771.0,10014.0,10434.0,9999.0,10258.0,7643.0,5854.0,9387.0,10386.0,10413.0,10455.0,10515.0,7718.0,6007.0,9915.0,10124.0,10278.0,10187.0,10395.0,7342.0,4806.0,9704.0,9846.0,10018.0,10019.0,9847.0,7637.0,5951.0,9238.0,9539.0,9270.0,9211.0,9526.0,7224.0,5605.0,9325.0,9721.0,9906.0,9921.0,10002.0,7780.0,6049.0,9161.0,5356.0,10163.0,9903.0,10757.0,7889.0,5375.0,9955.0,10068.0,9706.0,9332.0,10550.0,8576.0,6320.0,10592.0,10864.0,11012.0,10900.0,11241.0,9027.0,6372.0,11649.0,11918.0,7563.0,11671.0,11818.0,8855.0,6700.0,11668.0,11701.0,11699.0,11494.0,11676.0,10049.0,6372.0,11227.0,9900.0,10998.0,10921.0,11320.0,7833.0,5184.0,10166.0,10746.0,10667.0,10926.0,11210.0,8766.0,6696.0,10560.0,10795.0,10866.0,11142.0,11435.0,8644.0,6603.0,10669.0,10855.0,10659.0,10511.0,10827.0,7968.0,5987.0,10344.0,10286.0,10625.0,10441.0,10739.0,7764.0,6184.0,9907.0,9974.0,9460.0,9463.0,9585.0,7473.0,5968.0,9772.0,9915.0,10135.0,10008.0,10353.0,7972.0,6361.0,10145.0,10114.0,6873.0,10265.0,10538.0,8077.0,6307.0,10669.0,10357.0,10796.0,9753.0,9270.0,8888.0,6262.0,10545.0,10455.0,10289.0,10760.0,11304.0
강남,180424.0,106020.0,213835.0,216809.0,221228.0,221012.0,237819.0,178600.0,101420.0,216673.0,222578.0,230788.0,233501.0,247827.0,188642.0,109640.0,220936.0,229914.0,230958.0,229653.0,240633.0,175406.0,97896.0,237899.0,245758.0,252563.0,249971.0,265750.0,178818.0,106560.0,233849.0,255192.0,254825.0,253723.0,265641.0,179783.0,108455.0,244241.0,247094.0,253000.0,250912.0,264025.0,180402.0,94576.0,234405.0,244587.0,249698.0,246580.0,250416.0,171626.0,106081.0,204611.0,236380.0,235559.0,233855.0,247026.0,165919.0,99718.0,231914.0,235998.0,243432.0,240902.0,251686.0,171853.0,105891.0,220297.0,114995.0,236297.0,237779.0,254307.0,185543.0,102357.0,226270.0,231752.0,228564.0,224938.0,248697.0,185539.0,106824.0,212793.0,218209.0,215720.0,211643.0,231379.0,181769.0,103409.0,214626.0,233448.0,133539.0,218474.0,238813.0,174792.0,100584.0,218688.0,220397.0,226587.0,235829.0,257688.0,194592.0,110794.0,229326.0,216258.0,232796.0,230231.0,250060.0,174217.0,89599.0,229263.0,246666.0,254561.0,253935.0,271959.0,195173.0,114747.0,239788.0,251261.0,253853.0,254400.0,270313.0,192098.0,114462.0,241958.0,247613.0,251553.0,251772.0,270994.0,187420.0,110266.0,238007.0,242982.0,248743.0,248215.0,262902.0,173927.0,107997.0,219490.0,221112.0,233208.0,228161.0,241170.0,161062.0,104530.0,231807.0,238856.0,242345.0,241962.0,254726.0,173901.0,107369.0,233465.0,252122.0,125682.0,234625.0,249763.0,180072.0,106487.0,230271.0,234680.0,238367.0,209317.0,217788.0,190910.0,112195.0,216769.0,216655.0,208385.0,215671.0,236949.0
강남구청,41764.0,22432.0,56962.0,57969.0,58813.0,58723.0,59745.0,39882.0,21463.0,56155.0,57620.0,59024.0,58227.0,59443.0,39297.0,19681.0,56496.0,58012.0,58652.0,58222.0,59476.0,35344.0,19235.0,55800.0,57751.0,58722.0,58196.0,60314.0,35108.0,18977.0,54804.0,58633.0,59165.0,58513.0,58657.0,33999.0,19149.0,56586.0,57839.0,58400.0,57943.0,58710.0,33357.0,16918.0,54469.0,56224.0,56517.0,56057.0,55232.0,29865.0,17682.0,50491.0,53430.0,52577.0,52541.0,53577.0,28690.0,16978.0,52763.0,55119.0,55754.0,55681.0,57465.0,32307.0,20237.0,47190.0,20035.0,55571.0,56096.0,58269.0,36750.0,18885.0,54488.0,56599.0,56368.0,55303.0,60246.0,40808.0,21898.0,55489.0,57913.0,57997.0,57173.0,59227.0,38408.0,21163.0,57086.0,60000.0,26731.0,58756.0,61353.0,38379.0,21750.0,57704.0,58619.0,59685.0,59913.0,62258.0,39287.0,21726.0,57795.0,56883.0,60449.0,58507.0,60520.0,35252.0,17540.0,55751.0,58902.0,59519.0,59086.0,60705.0,38496.0,20259.0,57040.0,59641.0,59827.0,58775.0,60997.0,35366.0,19752.0,56576.0,59072.0,58816.0,59944.0,60350.0,33594.0,18388.0,55230.0,57588.0,57885.0,56833.0,58192.0,29485.0,16962.0,52216.0,53213.0,52144.0,51286.0,51388.0,25772.0,16259.0,52207.0,55880.0,56489.0,55503.0,57283.0,30929.0,17883.0,53156.0,56258.0,21596.0,55470.0,57563.0,34532.0,19278.0,55463.0,57576.0,58605.0,54492.0,53057.0,38202.0,21368.0,55206.0,57596.0,57230.0,57909.0,60652.0
강동,34199.0,22051.0,40487.0,41014.0,40306.0,40225.0,40405.0,32648.0,22189.0,39698.0,40151.0,39859.0,39445.0,39955.0,31361.0,20510.0,39208.0,39453.0,39268.0,39303.0,40212.0,30072.0,19109.0,37810.0,39211.0,38966.0,39637.0,38980.0,26488.0,19616.0,36763.0,39304.0,39184.0,39489.0,39536.0,27274.0,19525.0,37820.0,38598.0,38975.0,39361.0,39436.0,26728.0,17312.0,36971.0,38187.0,37956.0,37371.0,36543.0,25995.0,18793.0,34552.0,36111.0,35994.0,35637.0,35481.0,25262.0,18450.0,35954.0,37320.0,37304.0,38114.0,37548.0,26292.0,19399.0,35598.0,19457.0,38201.0,38492.0,39248.0,28927.0,19094.0,37603.0,39415.0,38167.0,37548.0,40303.0,30498.0,21731.0,39465.0,40094.0,40567.0,40739.0,41225.0,31378.0,21939.0,42768.0,44160.0,25968.0,42957.0,43444.0,31946.0,22806.0,42702.0,42190.0,42408.0,42750.0,43503.0,32916.0,22639.0,41529.0,40678.0,42492.0,42169.0,42658.0,28892.0,18870.0,40191.0,41166.0,41619.0,42026.0,42848.0,32068.0,21753.0,41482.0,42288.0,42214.0,41810.0,42959.0,30867.0,21934.0,40544.0,41334.0,41355.0,41305.0,42192.0,29329.0,20926.0,40248.0,40620.0,40579.0,39623.0,40100.0,26379.0,19199.0,37824.0,37610.0,36837.0,36072.0,35900.0,24958.0,19206.0,37528.0,38707.0,38528.0,37941.0,39652.0,27488.0,20208.0,38471.0,39347.0,22440.0,39624.0,40802.0,28476.0,21375.0,40479.0,40792.0,40834.0,38004.0,37083.0,31519.0,21056.0,40019.0,40622.0,39583.0,41034.0,41584.0
강동구청,16402.0,11283.0,25561.0,25693.0,25838.0,25291.0,25941.0,15424.0,11253.0,25607.0,25744.0,25770.0,25257.0,25443.0,16302.0,10577.0,24990.0,25318.0,25479.0,24893.0,25490.0,14842.0,10152.0,24239.0,24992.0,25382.0,25199.0,25489.0,14511.0,10512.0,24001.0,25293.0,25748.0,25050.0,25405.0,14110.0,10550.0,24344.0,25110.0,25339.0,25057.0,24941.0,14176.0,9235.0,23899.0,23815.0,24515.0,23805.0,23773.0,14023.0,10475.0,21690.0,22896.0,22436.0,22039.0,22625.0,13005.0,9939.0,22770.0,23040.0,23807.0,23612.0,23842.0,13835.0,10241.0,21336.0,10394.0,23677.0,23813.0,24393.0,15007.0,10324.0,23740.0,23947.0,23950.0,23497.0,25136.0,15540.0,11068.0,24659.0,25075.0,25463.0,24707.0,25499.0,15547.0,10917.0,26129.0,26332.0,13621.0,26361.0,26909.0,15772.0,11192.0,25854.0,26094.0,26551.0,26754.0,26839.0,15417.0,11186.0,25808.0,22855.0,23796.0,23751.0,24175.0,13034.0,8775.0,25018.0,25791.0,26278.0,25902.0,26867.0,15437.0,11487.0,25788.0,26265.0,26556.0,26219.0,26465.0,15129.0,11311.0,25042.0,25760.0,25487.0,26154.0,25818.0,14771.0,11188.0,24749.0,24625.0,25044.0,24709.0,24787.0,13241.0,10838.0,23277.0,22792.0,22941.0,22223.0,22258.0,13147.0,10332.0,22976.0,23623.0,24210.0,23604.0,24516.0,13998.0,10786.0,23710.0,24098.0,12216.0,24298.0,24596.0,14352.0,11050.0,25036.0,24794.0,25125.0,24103.0,23058.0,15067.0,11190.0,24571.0,25523.0,25438.0,24846.0,25986.0
강변,104593.0,82348.0,94447.0,88939.0,91473.0,93188.0,107578.0,106024.0,81304.0,93653.0,91967.0,94282.0,94457.0,111343.0,106211.0,79108.0,95697.0,90550.0,92181.0,92211.0,107787.0,100126.0,72701.0,90820.0,89296.0,90869.0,92121.0,105590.0,93344.0,76735.0,87777.0,89719.0,91864.0,93461.0,106715.0,96620.0,78527.0,93524.0,90912.0,91438.0,92781.0,108947.0,94180.0,71017.0,93010.0,90220.0,95980.0,97559.0,108849.0,95658.0,81087.0,94948.0,96713.0,97220.0,97120.0,109087.0,93280.0,76715.0,96365.0,92805.0,95404.0,95106.0,110719.0,99061.0,80790.0,98098.0,67469.0,95426.0,94480.0,107760.0,100776.0,77275.0,94437.0,92839.0,90396.0,89216.0,109473.0,108741.0,83964.0,93207.0,92525.0,93452.0,94270.0,110481.0,98875.0,76062.0,90742.0,92140.0,65001.0,89678.0,103975.0,97102.0,75962.0,91681.0,89101.0,89176.0,93662.0,111458.0,106782.0,80858.0,94943.0,80395.0,89306.0,89699.0,104283.0,92631.0,63712.0,83581.0,86128.0,88135.0,88998.0,107289.0,105981.0,80722.0,89808.0,87548.0,90914.0,90726.0,106993.0,101151.0,78519.0,91506.0,88546.0,89717.0,91306.0,107748.0,95938.0,77190.0,93006.0,86871.0,90438.0,92788.0,106158.0,87938.0,74503.0,94221.0,90865.0,91517.0,90457.0,101139.0,86128.0,74467.0,91215.0,88647.0,90276.0,89514.0,104435.0,90620.0,75929.0,93286.0,95182.0,69517.0,93018.0,104298.0,96990.0,77358.0,94146.0,91630.0,91969.0,77179.0,84007.0,107328.0,79047.0,90101.0,84110.0,84050.0,89334.0,106475.0
개롱,11241.0,8121.0,15731.0,15825.0,15637.0,15717.0,15893.0,10843.0,7821.0,15789.0,15792.0,15905.0,15663.0,16137.0,10916.0,7967.0,15606.0,15261.0,15614.0,15740.0,16001.0,10676.0,7196.0,15635.0,15477.0,15928.0,15832.0,15835.0,9912.0,7420.0,15122.0,15759.0,15888.0,15781.0,16021.0,10251.0,7469.0,15513.0,15815.0,16731.0,16170.0,15777.0,9915.0,6491.0,15038.0,14750.0,15476.0,15392.0,14303.0,9467.0,7140.0,13642.0,14251.0,14106.0,14094.0,13882.0,8895.0,6577.0,14387.0,14035.0,15331.0,14736.0,14605.0,9539.0,7001.0,14397.0,6570.0,14606.0,15180.0,15562.0,10589.0,7146.0,15001.0,14891.0,15585.0,15058.0,15707.0,11532.0,7707.0,15518.0,15629.0,15557.0,15563.0,16046.0,10721.0,7423.0,15616.0,15779.0,9576.0,15743.0,15975.0,10909.0,7741.0,16025.0,16154.0,16256.0,15940.0,16420.0,11636.0,8034.0,15968.0,14899.0,16001.0,15612.0,16160.0,10294.0,6497.0,15392.0,15561.0,16247.0,15882.0,16475.0,11178.0,7619.0,15366.0,15506.0,16019.0,15808.0,16040.0,10928.0,7713.0,15486.0,15834.0,15266.0,15174.0,15787.0,10884.0,7219.0,15249.0,14879.0,15364.0,14917.0,14934.0,9358.0,6960.0,14150.0,13841.0,13504.0,13294.0,13169.0,8785.0,6672.0,14030.0,14443.0,14471.0,14076.0,14853.0,10072.0,7149.0,14003.0,14020.0,7760.0,14609.0,14891.0,11348.0,7607.0,15020.0,14799.0,15186.0,14427.0,13750.0,10759.0,7378.0,15001.0,15813.0,15137.0,15173.0,15552.0
개봉,47150.0,33392.0,54609.0,55107.0,55668.0,54917.0,55971.0,45846.0,33288.0,54275.0,54419.0,54875.0,53590.0,54648.0,44853.0,32145.0,52041.0,52268.0,53686.0,52243.0,53502.0,42460.0,28502.0,50486.0,52239.0,52952.0,52377.0,52720.0,40240.0,31144.0,49347.0,53286.0,53273.0,52463.0,53676.0,41493.0,30412.0,51647.0,52518.0,52661.0,52513.0,53132.0,40789.0,26606.0,49673.0,50928.0,52185.0,50944.0,50227.0,38906.0,30767.0,45559.0,48247.0,47225.0,46974.0,47480.0,36869.0,28041.0,49488.0,49814.0,50236.0,49327.0,50968.0,40438.0,30440.0,47849.0,29738.0,50966.0,50711.0,52074.0,43154.0,28216.0,50389.0,51960.0,50740.0,49051.0,53427.0,46520.0,32551.0,53432.0,55524.0,54210.0,53928.0,55394.0,45264.0,32089.0,54888.0,55466.0,37379.0,53912.0,55747.0,44856.0,32462.0,54191.0,54436.0,55563.0,54584.0,55001.0,45332.0,31776.0,52713.0,48700.0,53170.0,52523.0,53872.0,41610.0,26397.0,49679.0,51732.0,52330.0,52739.0,54533.0,44667.0,31995.0,51036.0,53091.0,53073.0,53523.0,55068.0,44397.0,32768.0,50886.0,51608.0,52451.0,52169.0,53160.0,39862.0,30249.0,49754.0,49637.0,51162.0,50372.0,51363.0,36908.0,29276.0,47764.0,47516.0,46589.0,44940.0,44403.0,34634.0,27860.0,46877.0,48052.0,48970.0,48664.0,49683.0,38901.0,29914.0,48264.0,49530.0,33415.0,49461.0,51448.0,41036.0,31029.0,50744.0,51270.0,51701.0,48144.0,46541.0,43348.0,31084.0,51100.0,51242.0,51218.0,51538.0,53886.0
개포동,5851.0,4860.0,8330.0,8291.0,9141.0,8318.0,8783.0,5991.0,4977.0,8138.0,7988.0,8759.0,8054.0,8590.0,5941.0,4635.0,7981.0,8148.0,8382.0,7887.0,8653.0,5397.0,4653.0,7905.0,7932.0,8612.0,8038.0,8604.0,5421.0,4546.0,7757.0,8169.0,8761.0,8199.0,8758.0,5539.0,4769.0,8061.0,8021.0,8728.0,8164.0,8557.0,5374.0,4198.0,7711.0,7698.0,8448.0,8010.0,7975.0,6012.0,4246.0,6761.0,7255.0,7412.0,6979.0,7425.0,4876.0,4183.0,7068.0,7386.0,8012.0,7273.0,7875.0,5329.0,4425.0,6746.0,3690.0,8223.0,7419.0,8160.0,5716.0,4453.0,7431.0,7717.0,8040.0,7780.0,8897.0,5688.0,4619.0,7885.0,7854.0,8475.0,7814.0,8365.0,5257.0,4154.0,6935.0,7239.0,4295.0,7293.0,7694.0,5227.0,4253.0,7378.0,7138.0,7914.0,7355.0,8239.0,4961.0,4048.0,6965.0,6517.0,7620.0,7003.0,7774.0,4714.0,3708.0,6716.0,7083.0,7925.0,7153.0,7809.0,5120.0,4131.0,7021.0,7216.0,7721.0,7279.0,7890.0,5415.0,4146.0,7415.0,7082.0,7810.0,7131.0,7725.0,5850.0,3944.0,6845.0,6949.0,7504.0,6905.0,7446.0,4459.0,4061.0,6392.0,6465.0,6433.0,6210.0,6390.0,4285.0,3486.0,6258.0,6682.0,7286.0,6526.0,7334.0,4725.0,3923.0,6437.0,6647.0,4068.0,6786.0,7346.0,5145.0,4712.0,7234.0,7133.0,7898.0,7089.0,6889.0,5419.0,4058.0,6810.0,7156.0,7942.0,7305.0,7581.0
개화,8724.0,6165.0,13318.0,12694.0,12965.0,12633.0,12940.0,8823.0,6156.0,12950.0,12595.0,12633.0,12604.0,13042.0,8365.0,5852.0,12862.0,12619.0,12670.0,12482.0,12716.0,8195.0,4979.0,12732.0,12422.0,12423.0,12438.0,12320.0,7270.0,5714.0,12362.0,12591.0,12466.0,12682.0,13062.0,7602.0,5472.0,12828.0,12697.0,12779.0,12707.0,12897.0,7760.0,4875.0,12712.0,12414.0,12534.0,12577.0,12520.0,7294.0,5664.0,11318.0,11758.0,11336.0,11271.0,11382.0,6723.0,5199.0,12164.0,11990.0,11985.0,12440.0,12729.0,7480.0,5393.0,10881.0,5101.0,12537.0,12367.0,12966.0,7972.0,5031.0,12835.0,12613.0,12598.0,12232.0,13319.0,8737.0,6145.0,13660.0,12945.0,12937.0,12982.0,13399.0,8972.0,6056.0,14605.0,14428.0,6952.0,14704.0,14603.0,8856.0,6322.0,14600.0,14282.0,14119.0,14146.0,14662.0,9333.0,6217.0,14472.0,13588.0,13888.0,14032.0,14304.0,8254.0,4816.0,13813.0,13556.0,13761.0,13816.0,14208.0,8980.0,6423.0,13974.0,13500.0,13872.0,14028.0,14029.0,8605.0,6093.0,13949.0,13573.0,13520.0,13555.0,13791.0,8343.0,5752.0,13728.0,13327.0,13374.0,13288.0,14070.0,7603.0,5675.0,12754.0,12620.0,12290.0,11924.0,11884.0,6866.0,5495.0,13017.0,12935.0,12925.0,12735.0,13170.0,7460.0,5707.0,13317.0,13459.0,6311.0,12993.0,13453.0,7827.0,5684.0,13927.0,13892.0,13999.0,12528.0,12289.0,9125.0,6330.0,14359.0,14107.0,13561.0,13663.0,14650.0
개화산,9630.0,7314.0,13295.0,13502.0,13306.0,13229.0,13177.0,9574.0,7036.0,13239.0,13208.0,13295.0,13138.0,13295.0,8950.0,6893.0,12685.0,12972.0,12990.0,12879.0,13007.0,8672.0,6197.0,12431.0,12979.0,13011.0,13105.0,12899.0,8339.0,6751.0,12438.0,13543.0,13263.0,12960.0,13131.0,8572.0,6646.0,12630.0,13433.0,13119.0,13083.0,13183.0,8462.0,5859.0,12456.0,12789.0,12689.0,12772.0,12393.0,8554.0,6542.0,11540.0,11988.0,12142.0,12076.0,11861.0,8091.0,6268.0,12346.0,13270.0,13096.0,12340.0,12352.0,8437.0,6549.0,11347.0,6195.0,12297.0,12495.0,12643.0,8747.0,6078.0,12487.0,12917.0,12521.0,12189.0,13178.0,9153.0,6851.0,12802.0,13050.0,13115.0,13141.0,13229.0,9160.0,6672.0,13254.0,13624.0,8377.0,13049.0,13517.0,9160.0,6788.0,13146.0,13380.0,13629.0,13503.0,13488.0,9361.0,6795.0,13198.0,12044.0,13293.0,12898.0,13186.0,8466.0,5394.0,12424.0,12729.0,13501.0,13203.0,13522.0,9116.0,6680.0,12765.0,13221.0,13060.0,13157.0,13345.0,9161.0,6842.0,13082.0,13351.0,13290.0,13039.0,13680.0,8613.0,6461.0,13094.0,12797.0,12880.0,12762.0,12855.0,7992.0,6299.0,12338.0,12464.0,12200.0,11677.0,11855.0,7918.0,6253.0,12178.0,12278.0,13040.0,12764.0,12559.0,8402.0,6420.0,12399.0,12696.0,7670.0,12416.0,12686.0,8449.0,6594.0,12956.0,12990.0,13250.0,12201.0,12077.0,9001.0,6575.0,12474.0,12662.0,12491.0,12640.0,13192.0
거여,11323.0,7998.0,15396.0,15674.0,15728.0,15313.0,15345.0,10637.0,7858.0,15220.0,15221.0,15384.0,15149.0,15564.0,10637.0,7588.0,14849.0,15160.0,15206.0,15279.0,15334.0,10239.0,6876.0,14847.0,15187.0,15417.0,15260.0,15332.0,9402.0,7223.0,14533.0,15502.0,15230.0,15044.0,15450.0,9748.0,7493.0,14827.0,15777.0,15360.0,15019.0,14941.0,9979.0,6259.0,13998.0,14031.0,14118.0,13829.0,13603.0,9457.0,7200.0,12720.0,13513.0,13091.0,13125.0,13140.0,8925.0,6773.0,13215.0,13587.0,13646.0,13673.0,13983.0,9899.0,7298.0,14288.0,7047.0,15113.0,14994.0,15118.0,10125.0,7117.0,14668.0,15095.0,15296.0,14541.0,15603.0,10835.0,7737.0,14971.0,15241.0,15411.0,14760.0,15464.0,11065.0,7696.0,15866.0,16242.0,9278.0,16065.0,16329.0,11128.0,7967.0,15641.0,15799.0,15984.0,16027.0,16093.0,11001.0,7904.0,15475.0,15077.0,15882.0,15536.0,16031.0,11053.0,6352.0,14975.0,15659.0,16237.0,15781.0,15980.0,10448.0,7714.0,15424.0,15817.0,15717.0,16163.0,15894.0,10811.0,7521.0,15242.0,15420.0,15210.0,15294.0,15569.0,10062.0,7375.0,14040.0,14387.0,14471.0,14307.0,14543.0,9310.0,7080.0,13153.0,13693.0,13153.0,12923.0,12820.0,9031.0,6858.0,13433.0,14038.0,14015.0,13757.0,14355.0,10042.0,7596.0,14314.0,14888.0,8256.0,14785.0,15252.0,10155.0,8343.0,15121.0,15142.0,15145.0,14531.0,13405.0,10740.0,7478.0,15346.0,15662.0,15297.0,15988.0,16071.0
